Label,Source,Formula,Density (g.cm⁻³),PLD (Å),Cp (J.g⁻¹.K⁻¹),Link to Publication
RSM0016,Experimental,Ag2 H16 C4 N4,1.58797,3.73766,0.643412158,10.1038/ncomms5337
RSM0022,Experimental,Eu2 H6 C12 O12,1.57941,4.34585,0.597796888,Not Available
RSM0042,Experimental,Tb2 H4 C14 N4 O12,2.7228,3.12937,0.567373047,10.1039/c0ce00340a
RSM0047,Experimental,Cd4 H12 C8 N12,1.06941,4.21013,0.753949382,10.1007/BF01045982                                                   
RSM0055,Experimental,Mn1 H12 C18 N6,1.26024,4.52542,0.943896041,10.1021/cg9015004
RSM0056,Experimental,Fe2 H10 C16 O10,0.960972,7.44909,0.867489975,10.1021/cm1008587
RSM0059,Experimental,Cu2 H8 C16 N8 O4,1.15609,4.71021,0.78162068,10.1021/cm2004352
RSM0068,Experimental,Al4 H10 C10 O16,1.53851,3.93627,0.961280916,10.1021/cm9023106
RSM0079,Experimental,Cd4 P4 H4 C4 O24,2.19272,3.49389,0.574922302,10.1039/C5DT01613D
RSM0081,Experimental,Mn1 H14 C20 N6,1.12578,5.17521,0.961403631,10.1021/cg9015004
RSM0086,Experimental,Zn2 H4 C20 O16,1.05817,3.74872,0.802924156,10.1016/j.inoche.2009.09.007
RSM0096,Experimental,U2 H4 C20 O16,1.62338,4.48458,0.520410282,10.1002/ejic.201500204
RSM0097,Experimental,Ni2 H4 C20 O16,1.45393,2.97524,0.808336863,10.1107/S1600536807030978
RSM0107,Experimental,Nd2 H6 C18 N6 O12,2.00053,5.73988,0.640592767,10.1021/acs.inorgchem.6b02774
RSM0109,Experimental,Pr2 H6 C18 N6 O12,1.9277,6.23916,0.64725491,10.1021/acs.inorgchem.6b02774
RSM0118,Experimental,Cu4 H8 C16 O16,1.65882,5.14427,0.711739527,10.1039/C5CE00326A
RSM0136,Experimental,Cd6 H16 C8 Cl12 O4,1.82777,3.59321,0.489153655,10.1107/S1600536810048634
RSM0145,Experimental,Fe3 Co3 H6 C18 O18,0.965581,4.59225,0.69990773,10.1038/ncomms6723
RSM0148,Experimental,Cu4 H8 C18 N8 O10,1.5842,3.88627,0.728756238,10.1039/C5RA15937G
RSM0151,Experimental,La2 H4 C24 O18,1.02156,4.58576,0.687627526,10.1016/j.molstruc.2011.07.032
RSM0158,Experimental,Zn3 H12 C20 N6 O8,1.13241,3.85839,0.787534327,10.1039/C5TA10765B
RSM0171,Experimental,Zn6 P4 H8 C8 O24,2.35968,3.86404,0.656631132,10.1016/j.jssc.2011.02.023
RSM0172,Experimental,Cu2 H20 C16 N12,1.04649,3.51571,0.87447878,10.1021/ic3026304
RSM0175,Experimental,Nd2 H12 C24 O12,1.4607,4.01738,0.680410597,10.1016/j.ica.2007.10.043
RSM0177,Experimental,Ho2 H12 C24 O12,1.41791,3.85858,0.639669382,10.1002/anie.201003900
RSM0191,Experimental,Cs2 Tb2 Mo2 H8 C18 N16 O2,1.7023,3.42388,0.611101987,10.1080/15533174.2010.486813                                         
RSM0195,Experimental,Y2 H12 C24 O12,1.3916,3.93012,0.801686515,10.1002/anie.201003900
RSM0199,Experimental,U3 H18 C18 O12,2.32691,3.77309,0.43512314,10.1021/cg500828s
RSM0220,Experimental,Al4 H12 C16 O20,1.0819,5.06576,0.925356939,10.1002/anie.201410459
RSM0226,Experimental,Cu2 H16 C24 N4 O8,1.58362,3.6813,0.860201572,10.1039/b200213b
RSM0227,Experimental,Fe6 H6 C24 S6 O12,1.08543,10.81385,0.687549035,10.1021/jacs.5b02897                                                 
RSM0228,Experimental,Zn6 H6 C24 O18,1.26413,10.77419,0.676741058,10.1002/chem.200701370
RSM0229,Experimental,Mn2 P4 H20 C16 O12,1.40474,3.26216,0.904875975,10.1039/C4CE00375F
RSM0230,Experimental,Ni6 H6 C24 O18,1.18585,10.74968,0.700802445,10.1039/C6CC04808K
RSM0234,Experimental,Co6 H6 C24 O18,1.14965,11.02783,0.712902232,10.1039/C4SC02064B
RSM0235,Experimental,Eu2 H16 C20 N2 O14,1.94365,3.2179,0.703170991,10.1039/c0nj00373e
RSM0239,Experimental,Cd6 H12 C12 N18 Cl6,1.83821,3.65839,0.511068503,10.1039/c0ce00762e
RSM0243,Experimental,Co2 H16 C24 N4 O8,1.36002,3.7827,0.896553284,10.3866/PKU.WHXB201206123
RSM0247,Experimental,Mg3 H8 C24 S4 O16,1.29179,3.56399,0.832449769,10.1039/C5CE01886B
RSM0248,Experimental,Cd3 H8 C24 O20,1.65675,3.17815,0.687932161,10.1039/C4DT01678E
RSM0258,Experimental,La4 H16 C16 O20,2.00754,3.06698,0.595094115,10.1107/S0108270107034245
RSM0270,Experimental,Gd4 H8 C20 O24,1.95219,3.89501,0.556123427,10.1039/C5NJ01229E
RSM0277,Experimental,La2 H12 C18 O24,1.53467,4.36006,0.7380747,10.1039/b306838b
RSM0278,Experimental,Sr4 H8 C24 S4 O16,1.47136,4.61998,0.688564936,10.1021/cg301471r
RSM0281,Experimental,Li4 H16 C24 N4 O8,1.17988,3.6804,1.102309429,10.1002/anie.200906322
RSM0285,Experimental,La4 H8 C20 O24,1.78228,3.80446,0.600442614,10.1002/zaac.200800182
RSM0287,Experimental,Cd2 Ni2 H24 C14 N14,1.04542,4.46868,0.858637803,10.1039/dt9940001237
RSM0288,Experimental,Ca4 H8 C24 O20,1.16343,3.72987,0.88030677,Not Available
RSM0290,Experimental,Mg4 H16 C16 O20,1.41371,2.95585,0.905698682,10.1021/ja8075692
RSM0299,Experimental,Co3 H12 C20 N16 Cl6,1.18607,5.86361,0.750081636,10.1039/b502209f
RSM0304,Experimental,Co2 H20 C24 N4 O6 F2,1.38626,3.14726,0.920147605,10.1039/C3CE40162F
RSM0308,Experimental,Zn2 H24 C18 N8 O6,1.338,4.07165,0.902364544,10.1002/anie.201307074
RSM0309,Experimental,Cu6 P4 H16 C12 O20,1.72645,5.23026,0.679246761,10.1107/S0108270185008745
RSM0313,Experimental,In2 H8 C24 N8 O16,1.39782,3.06464,0.75535,10.1021/cg201572y
RSM0316,Experimental,Mn4 Mo2 H8 C24 N20,1.69504,3.13033,0.845509123,10.1246/bcsj.80.960
RSM0322,Experimental,Cd3 H14 C30 O12,1.55474,3.20995,0.690644955,10.1021/cg300617h
RSM0324,Experimental,Zn4 H8 C28 N4 O16,1.49643,3.04623,0.755912001,10.1021/ja060946u
RSM0327,Experimental,Cu2 H28 C20 I2 N8,1.88652,3.81251,0.738124865,10.1021/ic500677t
RSM0328,Experimental,La2 H14 C30 O14,1.47798,3.93627,0.717402235,10.1021/cg100078b
RSM0331,Experimental,La2 P4 H26 C12 N4 O12,2.04723,4.09184,0.690079315,10.1016/j.jssc.2009.07.019
RSM0337,Experimental,Mn2 H18 C30 N2 O8,1.21341,3.77403,0.882958063,10.1002/chem.201101321
RSM0342,Experimental,Cu2 H28 C20 Br2 N8,1.77352,3.93228,0.814667575,10.1021/cg800624z
RSM0366,Experimental,Cu2 H16 C37 O8,0.52826,7.55944,0.910373452,10.1039/C6CE00407E                                                   
RSM0369,Experimental,Ca1 H20 C34 O8,1.33585,3.37065,0.966810843,10.1021/acs.chemmater.5b03792
RSM0372,Experimental,V4 Ni2 H20 C24 N4 O10,1.26014,3.77131,0.822227174,10.1021/ic302662x
RSM0386,Experimental,Tb4 H12 C24 O24,1.58232,4.41463,0.577930703,Not Available
RSM0398,Experimental,La2 H16 C30 N2 O14,1.54932,3.95998,0.742581487,10.1021/cg200350j
RSM0400,Experimental,Zn4 H16 C24 N12 O8,1.54224,3.56674,0.777590718,10.1021/cm051829l
RSM0402,Experimental,V4 Co2 H20 C24 N4 O10,1.25814,3.60906,0.812850835,10.1021/ic302662x
RSM0418,Experimental,La2 H18 C30 O16,1.53605,4.00347,0.760859258,10.1021/cg100078b
RSM0423,Experimental,Zn2 Ni2 H16 C30 N14 O2,1.13655,3.94115,0.891999823,10.1039/c1ce05699a
RSM0424,Experimental,Co6 H6 C24 N12 O18,1.35983,6.13283,0.80221033,10.1039/C7SC00449D
RSM0426,Experimental,Sm2 H16 C32 O16,1.30261,2.96702,0.731296216,10.1002/anie.200900134
RSM0429,Experimental,Mg2 H12 C32 N4 O16,0.699794,5.9686,0.913689013,10.1016/j.molstruc.2016.12.005
RSM0431,Experimental,Mn2 H20 C30 N2 O12,1.17122,4.07337,0.920374729,10.1002/chem.200901707
RSM0433,Experimental,Cd3 H12 C36 O16,1.41889,3.5893,0.725665357,10.1021/cg301224z
RSM0439,Experimental,Zn4 P4 H20 C20 N4 O16,1.83746,3.14437,0.784047954,10.1016/j.jssc.2005.10.010
RSM0441,Experimental,Ag8 H12 C28 N4 O16,2.75795,3.16167,0.536449341,10.1016/j.jssc.2009.04.012
RSM0444,Experimental,H16 Pb4 C32 O16,1.85782,5.34063,0.500322234,10.1002/chem.200600730
RSM0445,Experimental,Cu4 H24 C24 N8 O8,0.613047,8.31254,0.863169861,10.1002/chem.201201820
RSM0453,Experimental,Mn6 P4 H6 C12 O40,1.6806,3.73689,0.76962499,10.1039/C5DT00431D
RSM0454,Experimental,Mn8 H12 C4 S4 N20 O20,1.94376,4.32167,0.739816312,10.1021/cg100127w
RSM0455,Experimental,Na2 Cu2 H16 C32 O16,1.2487,3.47726,0.851174098,10.1016/j.inoche.2013.09.076
RSM0457,Experimental,La4 H16 C24 O24,1.70067,4.14497,0.643391575,10.1021/acs.cgd.5b00426
RSM0458,Experimental,Lu2 H22 C24 N6 O14,1.62981,4.62542,0.724430835,10.1021/acs.cgd.6b00274
RSM0460,Experimental,Zn2 H20 C32 N6 O8,1.37635,3.36635,0.895145527,10.1039/C4RA00180J
RSM0462,Experimental,Er4 H4 C28 N8 O24,2.15382,3.01467,0.564997514,10.1039/b810964h
RSM0464,Experimental,Mn4 H16 C32 O16,1.19925,3.1808,0.834863874,10.1016/j.jssc.2011.10.051
RSM0473,Experimental,Ca2 H16 C36 O16,1.11541,4.93731,0.93003027,Not Available                                                        
RSM0478,Experimental,Ni4 H16 C28 N4 O18,1.48801,3.00963,0.80960484,Not Available                                                        
RSM0486,Experimental,Cu4 H6 W12 C10 N4 O34,2.88416,4.76797,0.342682931,10.1016/j.inoche.2009.09.032
RSM0488,Experimental,Zn2 H24 C32 N4 O8,0.929865,4.45036,0.917762604,10.1039/C6CE02122K
RSM0492,Experimental,Co2 H24 C32 N4 O8,1.23183,3.7805,0.942493758,10.1039/c2dt31361h
RSM0493,Experimental,Tb2 Zn2 H12 C30 N4 O20,1.95279,2.7335,0.672105981,10.1016/j.poly.2015.06.022
RSM0494,Experimental,Mg2 H16 C36 O16,1.09284,4.93175,0.946855,10.1039/C6DT02359B
RSM0496,Experimental,Cd3 H12 C32 N4 O20,1.55102,3.4869,0.720998039,10.1039/C6CE01287F                                                   
RSM0497,Experimental,Sm4 H8 C28 N8 O24,1.88705,2.90777,0.609806284,10.1021/ic201013v
RSM0498,Experimental,Li8 H16 C32 O16,0.986702,5.52024,1.090074618,10.1021/cg701173x
RSM0505,Experimental,Cu6 H12 C18 N24 O12,1.73024,6.14003,0.748206022,Not Available
RSM0508,Experimental,Co1 Mo6 H20 C24 N12 O9,1.95877,2.94799,0.635560937,10.1039/c002063j
RSM0516,Experimental,Al4 H16 C32 O20,1.04013,6.88785,0.902929205,10.1038/nchem.2114
RSM0532,Experimental,Tb4 H8 C28 N8 O24,1.9749,3.01519,0.594908967,10.1021/ic201013v
RSM0534,Experimental,Tb4 H8 C24 S4 N4 O28,1.49948,3.43242,0.60656851,10.1021/ja045123o
RSM0537,Experimental,Sc4 H16 C32 O20,0.998811,7.19101,0.889255417,10.1039/c1cc11168j
RSM0544,Experimental,Ni2 H22 C36 N4 O9,1.22008,3.63609,0.90477932,10.1021/ic0520418
RSM0545,Experimental,Zn3 H24 C30 S2 N6 O8,1.4885,2.87929,0.843421134,10.1039/a909748a
RSM0549,Experimental,Tb4 H12 C28 S2 N4 O24,2.08622,3.41082,0.587790271,10.1016/j.inoche.2016.08.009
RSM0551,Experimental,Gd8 H4 C4 S10 O48,3.387,2.71825,0.470099828,10.1021/acs.inorgchem.5b00214
RSM0557,Experimental,Zn2 H28 C34 N2 O8,1.36014,4.44757,0.90460405,10.1039/C5DT02323H
RSM0568,Experimental,La2 H18 C42 O12,1.61396,4.80384,0.743585515,10.1039/C5SC02679B
RSM0572,Experimental,Ag2 H16 C40 S8 N8,1.33018,4.49086,0.793547013,10.1039/b810479d
RSM0573,Experimental,U4 H20 C32 O18,2.25089,2.9839,0.475825228,10.1039/C4CE02307B
RSM0576,Experimental,Cd6 H16 C24 O28,1.60056,5.88994,0.63756285,10.1021/cg901605j
RSM0583,Experimental,Dy2 Cu1 H12 C32 N4 O24,1.81011,3.04709,0.704567236,10.1039/B712280B
RSM0588,Experimental,Zn3 H28 C30 N2 O12,0.948768,5.12176,0.865192458,10.1021/cg0701022
RSM0594,Experimental,Pr2 Cu1 H12 C32 N4 O24,1.67444,3.03752,0.726812068,10.1039/B712280B
RSM0602,Experimental,Y4 H12 C36 O24,1.30023,6.49998,0.744589285,10.1021/ja801411f
RSM0604,Experimental,Er4 H12 C36 O24,1.64303,6.39183,0.578830166,10.1021/ic101294s
RSM0622,Experimental,Sr2 Ni2 H20 C28 N4 O20,1.61736,4.14457,0.820056475,10.1039/C3CE41975D
RSM0624,Experimental,Ni4 H12 C36 O24,0.94962,5.20908,0.811148826,10.1039/C3DT51103K
RSM0628,Experimental,Er4 H12 C36 O24,1.30215,4.06975,0.573762686,10.1021/ic061666i
RSM0631,Experimental,Ho4 H12 C36 O24,1.62622,6.38572,0.58250357,10.1016/j.colsurfa.2015.10.048
RSM0632,Experimental,Lu4 H12 C32 N4 O24,2.28917,2.99754,0.571510836,10.1002/ejic.200700810
RSM0633,Experimental,Sc4 H20 C32 O20,1.14179,3.65904,0.921437085,10.1016/j.micromeso.2010.12.016
RSM0634,Experimental,Zn4 H16 C28 N12 O16,1.34823,2.81499,0.793506145,10.1039/C4CC00553H
RSM0637,Experimental,Co4 H22 C30 N4 O16,1.43905,4.00967,0.825239251,10.1021/acs.inorgchem.5b02340
RSM0641,Experimental,Mn4 Ag4 H16 C32 N12 O8,2.02421,3.80759,0.696045768,10.1246/cl.2009.992
RSM0644,Experimental,In4 H4 C32 O20 F16,1.50659,5.01237,0.689652667,10.1021/acs.cgd.6b00488
RSM0645,Experimental,Mn4 H16 Au4 C32 N12 O8,2.59612,3.75536,0.536727735,10.1246/cl.2009.992
RSM0647,Experimental,Cd4 H12 C36 O24,1.17451,4.00048,0.686850498,10.1080/15533174.2013.865223
RSM0656,Experimental,Zn4 H14 C36 O24,1.55626,3.05033,0.813417421,10.1039/b922690g
RSM0658,Experimental,Dy2 H22 C42 O12,1.53034,4.2881,0.724053506,10.1016/j.inoche.2012.04.027
RSM0662,Experimental,Mn6 P6 H24 C18 N6 O18,1.19627,12.19042,0.781367021,10.1016/j.micromeso.2011.12.003
RSM0663,Experimental,Dy2 Cu2 H16 C32 N10 O16,1.80464,3.15323,0.687401864,10.1039/c3ce40346g
RSM0664,Experimental,Tb2 H22 C42 O12,1.59049,4.1115,0.73975139,10.1016/j.inoche.2012.04.027
RSM0666,Experimental,Ho2 Cu2 H16 C32 N10 O16,1.83815,3.19142,0.682687572,10.1039/c3ce40346g
RSM0674,Experimental,La2 H18 C42 S6 O12,1.29113,7.61844,0.731976536,10.1039/C3CC43384F
RSM0676,Experimental,In4 H12 C36 O28,1.84632,4.17758,0.694245943,10.1021/ic0494962
RSM0682,Experimental,Cd4 Cu4 H16 C24 O32,1.85143,3.31507,0.645337805,10.1016/j.ica.2013.09.026                                            
RSM0686,Experimental,Ce2 H18 C42 S6 O12,1.30117,7.60218,0.729873681,10.1039/C3CC43384F
RSM0699,Experimental,Nd2 H24 C42 O12,0.999002,6.98075,0.772869099,10.1039/b803168a
RSM0700,Experimental,Zn4 H12 C32 S4 O28,1.21233,3.81987,0.768708117,10.1021/acs.inorgchem.6b01759                                        
RSM0706,Experimental,Zn2 H26 C44 N2 O8,0.538711,8.86662,0.912585456,10.1021/cm303749m                                                    
RSM0716,Experimental,U4 H24 C32 N4 O18,2.15148,3.2245,0.509921922,10.1039/C4CE02307B
RSM0718,Experimental,Ce4 H24 C24 O30,1.6526,3.20561,0.682311792,10.1002/zaac.200390014
RSM0724,Experimental,Mn4 H8 C40 S12 O18,1.66825,2.90832,0.757456362,10.1039/b817418k
RSM0728,Experimental,Zn8 H12 C36 O26,1.31887,4.62934,0.70651083,10.1016/j.inoche.2008.07.001
RSM0740,Experimental,Zn2 H34 C36 N8 O4,1.16932,3.18925,0.953108533,10.1002/ejic.200400438
RSM0748,Experimental,Zn6 H36 C24 N18,1.42666,3.21633,0.832931256,10.1021/ic802446m
RSM0752,Experimental,Zn2 H26 C44 N4 O8,0.491139,11.01661,0.910884551,10.1021/cm303749m
RSM0753,Experimental,Cd2 Ni2 H42 C26 N12,1.41013,3.85424,0.916363572,10.1007/BF01153298
RSM0760,Experimental,Eu4 H12 C36 N4 O28,1.12696,5.05778,0.660286861,10.1021/cg500114k
RSM0765,Experimental,Cd6 H12 C30 N12 O24,1.87818,3.47378,0.624050493,10.1039/C5DT02374B                                                   
RSM0782,Experimental,Co3 H24 C38 N12 O8,1.15882,4.89498,0.874655573,10.1039/C3QI00045A
RSM0783,Experimental,Mn3 H24 C38 N12 O8,1.10153,5.00717,0.896420615,Not Available
RSM0788,Experimental,In4 Co2 H12 C36 Br4 O28,1.72026,3.06042,0.594705997,10.1007/s10876-015-0889-3
RSM0789,Experimental,Cu4 H32 C40 N8 Cl2,1.34684,5.23224,0.830085242,10.1002/ejic.200500877
RSM0794,Experimental,Zn4 H12 C36 O18 F16,1.42889,2.92895,0.806363187,10.1021/cg200974h
RSM0795,Experimental,Pr2 H24 C48 O12,1.19755,3.41956,0.777310342,10.1039/C5DT03946K
RSM0796,Experimental,Cd2 H28 C40 N8 O8,1.36937,2.93828,0.83446496,10.1021/cg401811c
RSM0811,Experimental,Zn8 H12 C36 I4 O28,1.68854,2.97917,0.58163627,10.1016/j.inoche.2007.11.008
RSM0816,Experimental,Cu8 H16 C32 O32,1.83557,5.79043,0.702802468,10.1016/j.poly.2012.04.012
RSM0820,Experimental,Cu4 H28 C32 N8 O16,1.23965,3.35457,0.824489193,10.1021/ic0258577
RSM0825,Experimental,Mn4 H28 C36 N4 O16,1.26918,3.48462,0.897278028,10.1002/ejic.200500568
RSM0830,Experimental,Cu4 H16 C36 N16 O16,1.09695,3.77204,0.802523187,10.1021/ic1017467
RSM0841,Experimental,U4 P8 H16 C24 O32 F4,1.93048,2.98027,0.541290832,10.1002/ejic.201402764
RSM0844,Experimental,La2 Ni3 H30 C24 N6 O24,1.78987,4.78872,0.747732464,Not Available
RSM0848,Experimental,In6 H8 C40 O36,1.67687,5.82928,0.655696611,10.1002/ejic.200400968
RSM0850,Experimental,La2 Zn2 H20 C40 N6 O20,1.41619,3.5881,0.744721424,10.1016/j.jssc.2014.01.003
RSM0851,Experimental,Mg4 H20 C32 O34,0.807308,4.89494,0.921926079,10.1021/acs.inorgchem.5b00539
RSM0853,Experimental,Ag2 H40 C40 N8,1.28543,3.73668,0.894285195,10.1039/C4CE00816B
RSM0858,Experimental,Li4 H48 C24 Cl2 O12,0.965907,3.45254,1.246775956,10.1016/S0020-1693(99)00380-1
RSM0860,Experimental,Fe6 H30 C30 O24,1.3651,5.67342,0.882397786,10.1016/j.micromeso.2011.12.035
RSM0862,Experimental,Zn3 H34 C44 O10,0.811406,12.23749,0.92505176,10.1021/cg400376g
RSM0871,Experimental,Zn4 H24 C32 O32,1.13637,3.29672,0.910009531,10.1021/cg901114e
RSM0881,Experimental,Cu4 H16 C44 N4 O24,1.31146,3.37051,0.828115429,10.1021/ic049363g
RSM0888,Experimental,Gd4 H16 C48 O24,1.87081,3.18399,0.628205141,10.1021/cg401452p
RSM0892,Experimental,Co4 H28 C36 N16 O8,1.18393,3.41047,0.86547156,10.1021/cg500121f                                                    
RSM0895,Experimental,Co4 H24 C48 O16,1.29539,2.90679,0.846791762,10.1016/j.solidstatesciences.2012.07.011
RSM0903,Experimental,Co5 H32 C34 N4 O18,1.66622,3.61797,0.837814258,10.1039/C6DT04626F
RSM0904,Experimental,Zn2 H32 C41 N4 O14,1.34219,3.27626,0.93064765,10.1021/cg201362x
RSM0913,Experimental,Er2 H28 C48 N4 O12,1.6104,2.99839,0.75008729,10.1021/ic100822s
RSM0915,Experimental,Tb4 H36 C30 O24,2.05809,3.06382,0.655474921,10.1080/00958970701194074
RSM0919,Experimental,Er2 H28 C40 N10 O14,1.72007,3.07691,0.768284789,10.1021/acs.inorgchem.6b00217
RSM0921,Experimental,Mn2 H32 C48 N4 O8,1.2795,4.3018,0.959500656,Not Available                                                        
RSM0937,Experimental,Mn4 Ge8 H32 C24 S12 O16,1.49715,5.03569,0.670742197,10.1002/chem.200902921                                               
RSM0938,Experimental,Zn8 P12 H28 C12 O36,1.90234,3.97333,0.714884332,10.1021/ic060608u
RSM0946,Experimental,Ca6 H18 C42 N6 O24,0.950282,5.16233,0.877993408,10.1021/cg300093h
RSM0953,Experimental,Li8 H32 C40 N8 O8,0.984903,3.14472,1.18118392,10.1039/c1cc11245g
RSM0956,Experimental,Ag4 H24 C40 N24 O4,1.34009,4.31642,0.727763373,10.1039/b508479b
RSM0962,Experimental,Mn2 H32 C48 N4 O10,1.06351,3.99236,0.957196042,10.1002/ejic.200501155
RSM0964,Experimental,V4 H32 C40 O20,1.12369,5.45815,0.93723852,10.1021/ic201396m
RSM0966,Experimental,Cu8 H12 C40 O36,1.42153,6.77624,0.731455289,10.1002/zaac.201400177
RSM0969,Experimental,Tb4 H20 C36 N4 O32,1.11597,5.31813,0.656982595,10.1039/C5CC01181G
RSM0975,Experimental,Cu2 H24 C24 N48,1.22424,3.38874,0.890702339,10.1080/00958972.2014.935770
RSM0981,Experimental,Co2 H36 C44 N8 O8,1.01115,3.41367,0.959502545,10.1021/cg201025u
RSM0996,Experimental,Cd5 H24 C44 N10 O16,1.68356,4.01878,0.688675006,10.1016/j.ica.2014.12.002
RSM1002,Experimental,Tb4 H36 C36 O24,1.20664,5.24299,0.64066117,10.1021/cg800204q
RSM1005,Experimental,Y4 H24 C48 O24,1.27152,4.79199,0.801437969,10.1002/anie.201003900
RSM1007,Experimental,Cu4 H24 C48 N24,1.16729,4.51538,0.808748939,10.1039/b600306k
RSM1019,Experimental,Mg6 Cu2 H18 C42 N6 O26,0.968202,3.84882,0.827455067,10.1021/jacs.6b07901
RSM1026,Experimental,Zn10 P8 H18 C16 O48,2.26869,4.13252,0.695985401,10.1002/zaac.200900218
RSM1028,Experimental,Cu12 H16 W4 C32 S16 N20,1.84002,3.70575,0.527546138,10.1002/chem.201404803
RSM1030,Experimental,Cu4 H24 C24 N32 O16,1.65524,4.88948,0.82958787,10.1039/C3NJ01198D
RSM1035,Experimental,Er4 H24 C48 O24,1.50119,4.72261,0.644323754,10.1080/00958970701411361
RSM1050,Experimental,Cu4 H30 C48 N2 O16,0.764072,5.68638,0.850429729,10.1039/C3CE41095A
RSM1053,Experimental,Nb12 Cu4 H12 C20 S12 N16 Cl24,1.66812,3.96898,0.575982574,10.1080/00958970701411361                                            
RSM1055,Experimental,Ca2 Cd4 H24 C48 O24,1.14842,6.26395,0.73449176,10.1016/j.molstruc.2015.12.005
RSM1056,Experimental,Cd6 H24 C48 O24,1.42405,5.36563,0.665215302,10.1039/b718947h
RSM1064,Experimental,In2 H28 C56 O16,1.14598,3.90004,0.844486721,10.1038/nchem.333
RSM1066,Experimental,Zn2 H32 C48 N4 O16,1.33081,2.82397,0.928273761,10.1021/cg400579w
