Label,Source,Formula,Density (g.cm⁻³),PLD (Å),Cp (J.g⁻¹.K⁻¹),Link to Publication
v0+tfz-d+N131+169,In Silico,Mn5 H14 C48 S6 N32 Cl2 F8,1.5315,3.08914,0.7417,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+266,In Silico,Mn5 H20 C48 N38 Cl2 F8,1.3196,3.77652,0.7802,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+38,In Silico,Mn5 H14 C66 N32 Cl26,1.54,3.15902,0.7262,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+397,In Silico,Mn5 P2 H32 C60 N32 Cl2 O2 F8,1.2914,3.12942,0.8171,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+494,In Silico,Mn5 H38 C66 N32 Cl2,1.0988,3.47904,0.8516,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+528,In Silico,Mn5 P2 H40 C62 I4 N32 Cl2 O4,1.4096,3.49287,0.6946,10.26434/chemrxiv-2023-71mjq
v0+tfz-d+N131+627,In Silico,Mn5 P2 H36 C58 N32 Cl2,1.1882,2.76585,0.8391,10.26434/chemrxiv-2023-71mjq
v0+unc+N520+10,In Silico,Eu4 H32 C80 O40 F32,0.4847,15.20628,0.7389,10.26434/chemrxiv-2023-71mjq
v0+unc+N520+1601,In Silico,Eu4 H96 C176 O32,0.2935,17.81373,0.8528,10.26434/chemrxiv-2023-71mjq
v0+utk+N245+1349,In Silico,Sm8 H120 C168 O48,0.469,12.8298,0.7821,10.26434/chemrxiv-2023-71mjq
v0+utp+N51+750,In Silico,Mn16 H72 C180 Cl56 O48,0.7499,11.82191,0.7739,10.26434/chemrxiv-2023-71mjq
VAXMUF,Experimental,Cu2 H64 C40 N24,0.915127,1.90233,1.021113768,10.1039/C7CE00319F
VEGMOK01_charged,Experimental,Zn6 H80 C80 N4 O32,1.10779,4.83505,0.959297943,10.1107/S0108768105042795
VEJYIT,Experimental,Zn16 H96 C96 N64,0.933,5.02,0.8122,10.1073/pnas.0602439103
VEJZIU,Experimental,Zn32 H192 C192 N128,0.7331,7.10289,0.8194,10.1073/pnas.0602439103
VIQQUJ_clean,Experimental,Ni8 H64 C112 N16 O40,1.17508,3.75911,0.903073616,10.1007/s11243-013-9744-2
VIYMAT_clean,Experimental,Nd4 H12 C36 S6 O24,1.46758,4.89431,0.619425445,10.1016/j.inoche.2013.09.044
VUQKAU_clean,Experimental,Mn6 H48 C84 O24,1.00728,4.30067,0.893033754,10.1039/b916168f
VUQKAU01_clean,Experimental,Mn6 H48 C84 O24,1.0462,4.16681,0.8966,10.1002/ejic.201001001
VUQKAU02_clean,Experimental,Mn6 H48 C84 O24,1.033,4.21058,0.899,10.1016/j.ica.2013.03.042
VUWSAJ,Experimental,Nd4 H36 C72 O24,1.13748,3.74644,0.72528769,10.1039/C5RA10799G
WAHKUO,Experimental,Ti3 Cu6 H120 C168 N24 F18,0.535273,7.00657,0.919742046,10.1039/C5CC10203K
WIHWAN,Experimental,Zn8 H112 C160 N8 O32 F48,0.761413,7.21573,0.882103749,10.1016/j.jssc.2012.12.030
WIKLOT,Experimental,U4 P12 H36 C12 O36,2.02684,5.31781,0.551055187,10.1021/ic400658y
WIRMOB,Experimental,Zn8 H192 C300 O38,0.921624,6.58063,0.952609283,10.1039/C3CE41459K
WIZMAV,Experimental,Zr6 H48 C84 O32,0.7097,6.19123,0.831,10.1039/C3QI00093A
WOBQEL_clean,Experimental,Mn8 H88 C176 O32,1.0404,5.34968,0.9008,10.1039/C3CC49684H
WOJZOM_clean,Experimental,Sm4 H28 C60 O24,1.252,3.61923,0.685286365,10.1039/C4CE00158C
WURKEB_clean,Experimental,Mn16 H64 C128 O80,0.999228,5.02212,0.844068936,10.1039/C5DT03080C
XAFXOT,Experimental,La2 H24 C24 N6 O18,2.26028,3.67414,0.745891141,10.1039/c001537g
XALDAS,Experimental,Zn8 H48 C84 O26,0.641289,8.71112,0.830285814,10.1021/acs.cgd.7b00007
XAMDUM07,Experimental,Cu12 H24 C72 O48,0.868966,6.32545,0.749426987,10.1039/c1cc16045a
XANMUX04,Experimental,Cu2 H24 C28 Br2 N12,1.04018,7.17426,0.788215869,10.1021/acs.cgd.7b00060
XAZGAG_charged,Experimental,Ag16 H144 C72 S4 N52 O28,2.13594,4.25178,0.673196707,10.1002/1521-3765(20001016)6:20<3729::AID-CHEM3729>3.3.CO;2-V
XEBHOC,Experimental,Cu4 H40 C68 N4 O16,0.447,9.56321,0.8905,10.1039/b505664k
XEDPON,Experimental,Zn4 H12 C20 N16,1.15611,4.60348,0.719080174,10.1039/c2cc32927a
XENCAU,Experimental,Co4 H112 C80 N32,0.666546,5.25497,1.123194856,10.1039/b007183h
XEXMEU,Experimental,Zn4 H32 C76 N8 O24,1.17158,9.0367,0.852901483,10.1021/ic302334x
XINWUO,Experimental,Zn8 H32 C24 N24,1.2507,3.0838,0.767937084,10.1016/j.inoche.2013.01.023
XINWUO_clean,Experimental,Zn8 H32 C24 N24,1.09832,3.90118,0.733937221,10.1016/j.inoche.2013.01.023
XITYOP,Experimental,Cu12 H84 C180 O48,0.802338,4.87192,0.845575859,10.1021/ja0771639
XOVPUU,Experimental,Cu4 H36 C80 O24,0.398058,9.29143,0.882377084,10.1021/ic801631w
XUKHUI_clean,Experimental,Zn4 H32 C48 N4 O16,1.2012,3.85437,0.867,10.1016/j.inoche.2014.08.015
XUPSAE,Experimental,Al8 H32 C64 O40,1.0393,6.82909,0.936,10.1038/nchem.2114
XUVHEB,Experimental,Zn12 H128 C208 N8 O48,1.06857,5.13974,0.900930898,10.1016/S0022-4596(03)00141-5
YILJAG,Experimental,Zn8 H56 C56 N16 O10,0.778578,5.48297,0.889500879,10.1002/anie.201307217
YINXIE,Experimental,Cu3 H30 C42 N18 O12,1.35934,4.13937,0.86468914,10.1021/cg400680r
YIWNEX,Experimental,Cd24 C72 N56,1.37451,4.45072,0.594908793,10.1039/dt9940003695
YIYHAQ_clean,Experimental,Zn6 H108 C108 N18,0.982113,3.5886,0.946533811,10.1016/j.solidstatesciences.2007.07.016
YUCZOM_clean,Experimental,Fe2 H18 C22 N4 O4,1.01421,3.54021,0.898080132,10.1107/S1600536809034722
YUGLES,Experimental,Cu6 H18 C54 O24,0.707727,6.25369,0.800255768,10.1039/B917046D
ZAFXAI,Experimental,Y24 H48 C96 O128,1.38799,3.3036,0.718935936,10.1002/anie.201506345
ZAGHAT,Experimental,Sc3 H18 C12 O12,1.21714,3.88665,1.027168931,10.1021/acs.inorgchem.5b02030
ZEDZAL01_clean,Experimental,Pr6 H90 C162 O36,1.03183,4.51168,0.784203667,10.1039/c2jm33884j
Zeolite_13X,Experimental,Na86 Al86 Si106 O384,1.41294,5.1394,0.730683,10.1016/0144-2449(95)00029-6
ZIDBEV,Experimental,Cu8 H48 C32 N24 O2,0.886488,5.32954,0.787686883,10.1039/C3RA41567H
ZIHFUR,Experimental,Ag2 H32 C56 N8,1.33333,4.51499,0.891237961,10.1039/C39950002199
ZILFOR_manual,Experimental,Cu16 H120 C216 N8 O64,0.632715,7.54155,0.860841683,10.1039/C3TA12662E
ZnTBAPy4,Experimental,Zn2 H22 C44 O8,1.1373,5.25597,0.8825,10.1021/ja308995t
ZOMNUM_clean,Experimental,Zn1 Cr1 H18 C14 N4 O2,1.06034,4.33431,0.894267486,10.1039/C4CC03478C
